"Tiempo","Series 1"
"2020-12-16 08:13:28",798
"2020-12-16 08:13:29",798
"2020-12-16 08:13:30",798
"2020-12-16 08:13:31",798
"2020-12-16 08:13:32",798
"2020-12-16 08:13:33",798
"2020-12-16 08:13:34",798
"2020-12-16 08:13:35",798
"2020-12-16 08:13:36",798
"2020-12-16 08:13:37",798
"2020-12-16 08:13:38",798
"2020-12-16 08:13:39",798
"2020-12-16 08:13:40",798
"2020-12-16 08:13:41",798
"2020-12-16 08:13:42",798
"2020-12-16 08:13:43",798
"2020-12-16 08:13:44",798
"2020-12-16 08:13:45",798
"2020-12-16 08:13:46",797
"2020-12-16 08:13:47",797
"2020-12-16 08:13:48",797
"2020-12-16 08:13:49",797
"2020-12-16 08:13:50",797
"2020-12-16 08:13:51",797
"2020-12-16 08:13:52",797
"2020-12-16 08:13:53",797
"2020-12-16 08:13:54",797
"2020-12-16 08:13:55",788
"2020-12-16 08:14:19",800
"2020-12-16 08:14:19",800
"2020-12-16 08:14:19",798
"2020-12-16 08:14:19",797
"2020-12-16 08:14:19",797
"2020-12-16 08:14:19",796
"2020-12-16 08:14:19",796
"2020-12-16 08:14:19",795
"2020-12-16 08:14:19",795
"2020-12-16 08:14:19",795
"2020-12-16 08:14:19",795
"2020-12-16 08:14:20",794
"2020-12-16 08:14:20",794
"2020-12-16 08:14:20",794
"2020-12-16 08:14:20",793
"2020-12-16 08:14:20",793
"2020-12-16 08:14:20",793
"2020-12-16 08:14:20",793
"2020-12-16 08:14:20",793
"2020-12-16 08:14:20",793
"2020-12-16 08:14:20",792
"2020-12-16 08:14:20",792
"2020-12-16 08:14:20",795
"2020-12-16 08:14:21",798
"2020-12-16 08:14:22",800
"2020-12-16 08:14:23",800
"2020-12-16 08:14:31",773
"2020-12-16 08:14:31",774
"2020-12-16 08:14:31",776
"2020-12-16 08:14:31",778
"2020-12-16 08:14:31",780
"2020-12-16 08:14:31",780
"2020-12-16 08:14:31",780
"2020-12-16 08:14:31",782
"2020-12-16 08:14:32",813
"2020-12-16 08:14:33",879
"2020-12-16 08:14:34",811
"2020-12-16 08:14:35",787
"2020-12-16 08:14:36",783
"2020-12-16 08:14:37",783
"2020-12-16 08:14:38",783
"2020-12-16 08:14:39",782
"2020-12-16 08:14:40",782
"2020-12-16 08:14:41",782
"2020-12-16 08:14:42",783
"2020-12-16 08:14:43",783
"2020-12-16 08:14:44",783
"2020-12-16 08:14:45",783
"2020-12-16 08:14:46",783
"2020-12-16 08:14:47",783
"2020-12-16 08:14:48",783
"2020-12-16 08:14:49",783
"2020-12-16 08:14:50",783
"2020-12-16 08:14:51",783
"2020-12-16 08:14:52",783
"2020-12-16 08:14:53",783
"2020-12-16 08:14:54",782
"2020-12-16 08:14:55",783
"2020-12-16 08:14:56",782
"2020-12-16 08:14:57",782
"2020-12-16 08:14:58",783
"2020-12-16 08:14:59",783
"2020-12-16 08:15:00",782
"2020-12-16 08:15:01",782
"2020-12-16 08:15:02",780
"2020-12-16 08:15:03",782
"2020-12-16 08:15:04",783
"2020-12-16 08:15:05",782
"2020-12-16 08:15:06",780
"2020-12-16 08:15:07",782
"2020-12-16 08:15:08",782
"2020-12-16 08:15:09",782
"2020-12-16 08:15:10",783
"2020-12-16 08:15:11",783
"2020-12-16 08:15:12",783
